par_id,text,label_x
4046,we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .,[1 1 0 0 0 0 0]
1279,"pope francis washed and kissed the feet of muslim , orthodox , hindu and catholic refugees in a moving ceremony during holy thursday mass at a refugee centre on the outskirts of rome . ( march 24 )",[0 0 1 0 0 0 0]
8330,"many refugees do n't want to be resettled anywhere , let alone in the us .",[0 0 0 1 0 0 0]
4063,"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives .""",[1 1 0 0 1 1 0]
4089,"""in a 90-degree view of his constituency , one can see a high rise and a flyover while underneath it , homeless people sleep on pavements . """" as you can see , my constituency is not confined to one socio-economic group , """" he said , adding that apart from water , another major concern for him is to improve the standard of public schools in the area .""",[0 1 0 0 0 0 0]
432,"he depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into macedonia on 14 march 2016 .",[0 0 0 0 1 0 0]
4177,"the word of god is truth that 's living and able to penetrate human souls ( heb. 4:12 ) . consider how powerful scripture is : it can change hearts , save lives from eternal condemnation , and give hope to the hopeless .",[0 1 0 0 1 0 0]
3963,"chantelle owens , mrs planet 2016 , hosted the day and the ladies had the chance to share their compassion for those in need .",[0 1 1 0 1 0 0]
2001,t is remiss not to mention here that not all scavenging children come from poor families . children hailing from affluent families use dumpsites as playgrounds .,[0 0 0 1 0 0 0]
369,""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """"""",[1 1 0 1 1 0 0]
773,"sheepherding in america has always been an immigrant 's job , too dirty , too cold and too lonely for anyone with options .",[0 1 0 1 1 0 0]
6510,""""""" these poor ladies are definitely going through some traumatic issues right now , and i am asking that they come forward so that i help them ? together with women parliamentarians - to be able to heal .""",[1 1 1 1 1 0 0]
7394,"karachi - on the eve of international women 's day , pakistan people 's party chairman bilawal bhutto zardari has announced that his party 's women wing will organise karwan-e-benazir rallies in all the provincial capitals and in azad jammu &amp; kashmir , gilgit-baltistan and fata to celebrate the day and ppp 's achievements for empowerment of women in the country .",[0 1 1 0 0 0 0]
1572,if only we had more stories that championed the brilliance of migrant workers perhaps we 'd be able to challenge the silence that permits them to be treated in such a disdainful way .,[0 1 0 0 1 0 1]
5685,"kasun may not be a superhero or a super genius but he is a great human being who has overcome challenges and hardships of life without even having the full functional capability of his body . his courage and dedication may one day take him to high places in life but above all , for those who are feeling useless and hopeless even though they have fully functional limbs , kasun 's story is going to be a lesson .",[1 1 0 1 1 0 1]
5996,real poverty of britain : shocking images of uk in the sixties where poor really meant poor <h> these hard-hitting photographs offer a glimpse into the harrowing day-to-day for poor families living in britain during the sixties .,[1 0 0 0 1 0 0]
991,valerie siddiq : my heart goes out to all the deceased and the poor families . may god grant us tolerance for all race and religions .,[0 1 0 0 1 0 0]
6189,"""our country is in need of serious change . we can continue to celebrate women 's day , throw massive budgets at events , give out goody bags with a cute lipsticks and celebrate female achievers once a year . this is without taking away from exceptional women who truly are making inroads into their environments but we are not just a cute lipstick , or pair of shoes , we are not just pretty and soft and squishy . we are not just child bearers , and there for procreation . so , why are we as women , so accepting of the placating and mollification thrown at us and overlook the inequalities through acceptance . i am by no means militant , but often , as even in politics , focus is shifted on true issues by drawing public attention to other """" things """" in order for us to be distracted . by shifting our focus from relevant issues we forget why we were disgruntled and angry and nothing ever changes .""",[0 0 1 0 0 0 0]
6234,"the world health organization did not give a reason for the increase in deaths , but a provincial health official in sindh said that the disease hit areas where poor families did not vaccinate their children .",[0 1 0 1 0 0 0]
10326,"a top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imposing taxes on unhealthy products -- if other efforts fail to encourage better eating habits among hong kong residents . dr regina ching from the health department said such moves could be explored as a way to cut levels of chronic illnesses in the city , such ...",[0 1 0 1 0 0 0]
5248,"maida noted that political issues should not twist women away from matters of development , the important thing is peace , and women must wake up , since they need economic revolution through peaceful means .",[1 0 0 0 0 0 0]
9587,jamaicans are deemed to be among the most violent persons on planet earth . some argue that it has to do with our legacy of slavery which in itself was an act of extreme violence . some even posit that it may well be that we have too much sugar in our blood ; while others point to the socio-economic conditions that the majority of black jamaicans have to live under which have led them to a point of hopelessness and anger .,[0 1 0 1 0 0 0]
1067,businessman norberto quisumbing jr . of the norkis group of companies has a challenge for families who can spare some of what they have : why not adopt poor families and help them break the cycle of poverty ?,[1 1 1 0 1 1 0]
1208,"it is written in ecclessiastes in the bible that ' woe to any nation where a slave becomes king ' this typifies the situation in nigeria since the inception of that country . i weep for my country when i visited home in 2009 and toured my alma mater- absu ... the infrastructural decay reduced me to tears . no matter how much oil is sold in the world market the money will not change the corrupt/ sorry situation in nigeria . the only thing that will change it is revolution . i weep for the children , pregnant women , the sick , infirms and the vulnerables who are trapped in this diabolical hole called nigeria . my advice to nigerians ... ' god will not do for man what man can do for himself ' wake and take your destinies in your hands stop calling on god for simple things you can do , learn from egypt , tunisia and libya experience .",[1 1 0 1 1 1 0]
8706,"a massive cleanup and awareness drive was conducted jointly by the lwmc and the bahria university , lahore campus in different localities of johar town . the purpose of the drive was to improve state of cleanliness and sensitise poor families to hygienic conditions .",[1 1 1 0 0 0 0]
7918,""""""" nigeria 's tertiary education system is still elitist . we do n't make allowance for poor families , families that have not yet produced a university graduate . how do these people assess the university education ?""",[0 1 0 0 0 0 0]
9998,""""""" in addition , the members of parliament will visit two projects that focus on the inclusion of street children and victims of acid attacks to demonstrate their solidarity with those vulnerable groups in need of support . finally , on april 29 the delegation will brief the journalists on the outcome of the visit at a press conference . """"""",[0 1 1 0 0 0 0]
5506,""""""" we know uber partners with an extensive network of drivers , and plunket nurses support some of our most vulnerable families . working together , we can make it simple for people to help out and make a difference , """" jarvie says .""",[0 1 0 0 0 0 0]
6056,"idearaya spokesman maryam ramli lee in an interview with malay mail online , september 10 , 2015 . for human rights , idearaya is shining a spotlight on marginalised communities such as refugees and migrant workers , while its focus for philosophy this year would be on educating children to express themselves philosophically .",[0 1 1 1 1 1 0]
2848,camfed would like to see this trend reversed . it would like to see more girls in school . basic education statistics in tanzania ( best 2010 ) show that only 18 percent of girls have completed secondary school education . this is why camfed supports girls from poor families to obtain secondary education and its efforts have seen many go to university .,[0 1 0 0 0 0 0]
9518,"bond went out of his way to help the less fortunate , often going on the road with kim to take food to the homeless .",[0 1 1 0 1 0 0]
1847,"trevor hagan/winnipeg free press john donovan , northern region director of the addictions foundation of manitoba : ? many of them are feeling pretty hopeless. ?",[0 0 0 1 1 0 0]
5252,"xi made the remarks during a tour of the city of zhangjiakou in northern china 's hebei province , where he inspected an impoverished village , visiting and chatting with poor families , discussing how they could shake off poverty .",[1 1 1 0 1 1 0]
8839,""""""" a vagrant even told me that he did not want to return to the streets ever again because of my movie . i mean , how much money can you pay to get a homeless person back on the right track ? """"""",[0 1 0 0 0 1 0]
6681,"watching poor families in england writhe in pain over this deep wound , we , as residents of this former slave plantation island , can commiserate with their distress .",[0 1 0 0 1 1 0]
4218,""""""" we need to grow the economy in a way that we are helping those that are struggling -- families that are going to difficult times , and those that are in vulnerable situations , """" he said .""",[0 1 1 0 0 0 0]
4802,"fasting bridges the gap between rich and poor , sustained and impoverished , fulfilled and needy . this experience should then inspire compassion and mercy , which is manifest by generosity of wealth and time to help those in need .",[0 1 0 0 0 0 0]
6995,"many celebrities wore blue ribbons to support the american civil liberties union , which is seeking to shed light on the plight of young immigrants facing the potential of being deported .",[0 1 1 0 1 1 0]
9435,"while some said they were just out to hang out with their friends of like persuasion , this was no social gathering for others ; it was a place of work . for some of these male prostitutes , the ' clients ' they picked up on this corner were their only means of survival , and the streets , in some cases , a home for the homeless among them .",[0 0 0 0 1 0 0]
107,"""his present """" chambers """" may be quite humble , but shiyani has the tiny space very neatly organized and clean . many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . """" there are many homeless sleeping around the station , """" captain xoli mbele , from the nearby johannesburg central police station said .""",[0 0 0 0 0 0 1]
3661,""""""" some come from poor families and then you find swimming in millions and they lose focus , then they fizz out from football altogether , """" he said , making it clear that to have a paul pogba-esque success , one needs to work that much harder and not get influenced easily especially at this age and that too coming from africa .""",[1 1 0 1 0 0 0]
7443,she urged members of the public to always be willing stretch a hand of support to persons in need within the society .,[1 1 0 0 0 1 0]
1790,"a few of hong kong 's mega rich , have also made a more concerted effort to improve the quality of life of those most in need , however the philanthropic approach adopted by the vast majority of them has its limitations . philanthropy has often created a culture of dependency and has failed to tackle the root causes of social problems . for many organizations , philanthropic investment is viewed as a cost rather than an opportunity .",[0 1 0 0 0 0 0]
5552,the minister said a society 's measure of its humanity is how it treats its weakest and most vulnerable members .,[1 1 0 0 0 0 0]
490,"18 december should serve as a time when we look with compassion at the fate of migrants , refugees and the internally displaced . it is especially a time when we must plan and increase resources for creative action .",[0 1 1 0 0 0 0]
6699,he said their efforts should not stop only at creating many graduates but also extended to students from poor families so that they could break away from the cycle of poverty .,[0 1 0 0 1 1 0]
6821,"that is the big picture , the one conveyed in official reports and government documents . but for the people who live on the ground in the province , it does not begin to portray the hopelessness , the everyday obstacles , the decay .",[0 1 0 1 1 0 0]
9455,"speaking at the event , which was part of activities marking the 58th independence anniversary of nigeria and 22 years of the state 's creation , umahi noted that the vision of caring for the widows , the elderly and vulnerable was a divine assignment bestowed on",[0 1 0 0 0 0 0]
3265,"the turkish ambassador to tanzania ali davutoglu has called on civil society groups and tanzanians in general to join hands in helping orphans and vulnerable children , saying such responsibilities should not be left for the government alone .",[1 1 0 0 0 0 0]
6309,"some years later the daughter 's marriage broke up . she had two children by then and needed money urgently . the father dipped into his savings and was eventually compelled to move into this home . his daughter has put in the papers for him to join her in australia and he is hopeful of joining her soon . that day for him will be a joyful escape from the surrounding air of defeat , dejection and hopelessness .",[0 0 0 1 1 1 0]
2610,"""nearly 15,000 west african teenagers leave their homes every year to play football in europe . few make good on their dreams . some are lured by corrupt """" agents """" , smuggled across the searing sahara and discarded in the streets of europe , resigned to selling fake designer bags as undocumented immigrants . others are nabbed by academies and feeder teams affiliated with european clubs and often dumped like bad stocks .""",[0 0 0 1 1 1 0]
7959,"president akufo-addo noted that despite democracy gaining roots on the continent , and the positive economic strides , there were justifiably pressing demands to address issues of widespread unemployment and the sense of hopelessness in the future , that compels large numbers of africa 's youth to travel across the sahara desert and traverse perilous oceans in search of a better life in the developed world .",[0 1 0 0 1 0 0]
187,""""""" we share a global responsibility to respond to this crisis . we commend others who have acted in a compassionate and generous way , especially the government of bangladesh and host communities in the region who continue to provide safe refuge to their neighbours in need , """" he said .""",[0 1 0 0 0 0 0]
1477,"haiti has legal protections for the disabled on paper , but the laws are poorly implemented . disabled haitians have few opportunities to work and too many youngsters with disabilities languish out of sight at home instead of going to school . some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants .",[0 0 0 1 1 0 0]
3213,hollywood star leo di caprio urges help for reuniting immigrant children with their families,[0 1 0 0 0 0 0]
7726,"""in dublin , the church of ireland archbishop dr michael jackson reflected on the year drawing to a close and recalled the """" horrific conflagration at the halting site in carrickmines """" and the death of garda tony golden in omeath , as well as the """" refugees fleeing from syria """" and other parts of the middle east and the """" forgotten peoples of africa """" .""",[0 1 0 0 1 0 0]
808,he wants more done now to help those in need .,[0 1 0 0 0 0 0]
4303,"pic : james mcclean delivers on his incredibly classy promise to young disabled girl <h> james mcclean may be one of the most controversial figures in the premier league but , when push comes to shove , his heart is always in the right place for those in need .",[0 1 0 1 1 1 0]
2196,""""""" it 's the largest humanitarian tragedy of our time , """" ninette kelley , the un high commissioner for refugees ' representative to lebanon , told the guardian earlier this month in an interview . """" we do not want the world to forget that people are suffering here . """"""",[0 1 0 0 1 0 0]
5816,""""""" i have a lot of sympathy for folks who are in need in the city , """" mr edmonds-waters said . """" this has become an extremely expensive city to live in . the divide between those who have and those who do n't is ridiculously ginormous . """"""",[0 1 0 0 1 0 0]
4560,"hundreds of thousand africans are graduating per year . different from 1980s and early 1990s when college outpours got immediately absorbed in the labour market , many today are jobless and hopeless .",[0 0 0 1 1 0 0]
10007,"it is seen in recurring violence and continuing degradation of women through stone-age practices such as fgm . it is seen in the thousands of africans risking death in the seas to escape the hopelessness in their countries . it is seen in the ' cult of the green card , ' which i define as a maniacal ambition to live in america or europe .",[0 1 0 1 1 0 0]
6428,"kenyans are known to have big hearts . hearts so big that they give generously when it comes those in need . despite all our differences , we unite to help the sick , fight for justice or feed those in drought or war-stricken areas .",[0 1 0 0 1 1 0]
10468,""""""" anja ringgren loven i ca n't find a word to describe how i feel for you .... may god almighty keep blessing you and always give you strength and sound health to continue your good work ..... you gave hope to the hopeless ! ! ! ! have so much respect for you .. stay blessed my good fellow ... """" says one commenter on facebook . """" god bless you and your mission . glad to see hope ( and all the children ) growing up loved , well fed , happy , having fun , and going to school , """" says another .""",[0 1 0 1 1 0 0]
9980,"from mother ( played by bollywood actress seema biswas of bandit queen fame ) who rejected him and a society that offered no respite , siva was , in a nutshell , a hopeless street vagabond .",[0 0 0 0 1 0 0]
7004,"we have the opportunity to give the gift of love , to shine a light in the darkness of despair , to share with others who are in need , to comfort those who are sad or lonely .",[0 1 0 0 1 1 0]
2984,"she said since bangladeshs main export to the usa is apparel , this industry employs 4 million workers , of which 90 percent are girls from poor families . their earnings have empowered them . their contributions now provide better nutritional food , allow siblings to go to schools , and give them a respected voice at home . their empowerment is also helping reduce poverty , control population growth and increase literacy .",[0 0 0 1 0 1 0]
582,"it 's calculated that over 204,000 days of purpose-built residential accommodation to otherwise potentially homeless elderly men and women have been delivered by this personally driven altruistic act alone .",[0 1 0 0 0 0 0]
8848,"""while the scale of waste is astonishing in the western world , the plight of the poor families in the uk being """" literally """" forced to rely on food banks than those suffering in african villages and refugee camps , is a sad story . but it is a true story .""",[0 0 0 0 1 0 0]
8385,"""shelter chief executive polly neate said , """" it 's disgraceful that even when families are working every hour they can , they 're forced to live through homelessness . """"""",[0 1 0 0 1 0 0]
3614,news this month that anglican care spent $4 million buying a christchurch site as a hub for vulnerable youths is a fine example of that community-minded approach . in years to come there may be an interesting contrast between a beautifully restored cathedral that is empty much of the time and a youth hub and revamped city mission that are constantly busy .,[0 1 1 0 0 0 0]
1870,"""he said : """" i think we can consider introducing a negligible telecom surcharge to be entirely borne by the initiator of a call . in order to protect the poor and vulnerable amongst us , we could structure it to only take effect after the third minute of talk .""",[0 1 1 0 0 0 0]
9119,"new delhi : activists and medical professionals have lauded the government 's move to increase the ambit of the disabled list to offer benefits to acid attack survivors , those suffering from chronic neurological conditions , and haemophilia and sickle cell anaemia patients . this , they said , will help in integrating them into society .",[0 1 0 1 0 0 0]
149,"krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . she hopes the book , which contains some of her own work as well , will show how talented disabled people can be .",[0 1 0 0 0 0 1]
8979,"the vast majority of girls and women caught in the exploitative global sex trade are not victims of kidnapping , like the nigerian 276 abducted by boko haram , but rather of poverty . human traffickers prey on poor families who do n't have access to education and are n't aware of their basic rights . mired in grinding poverty , parents desperately take out loans on conditions they do n't understand , pledging their children on their debts .",[0 0 0 1 1 0 0]
1674,"kyle really your a pig , lol youre also very ignorant do nt like over weight women , well have u looked in the mirror recently your fat , you and your boss should be sacked never to return to radio , , how dare you say go for the disabled , your more disabled than the disabled olympians , they have a genuine heart , you do nt have one ,",[0 0 0 0 0 0 1]
2959,"you know the type . she 's excelling in her field while tutoring underprivileged kids , running 5k fundraisers and adopting the most hopeless rescue dogs as pets -- and she 's not afraid to gloat about it .",[0 1 1 0 1 0 0]
10253,"rather sad . good set of pictures that tells a tale of survival , subsistence living , and hopeless nature of life in the tribal societies . exploiting an unexpected geo-political bonanza is a temporary relief that is not sustainable . education and economic development seem miles away .",[0 0 0 1 1 1 0]
7153,"he stayed true to his promise , and at the opening day of the restaurant , he brought a lot of homeless from the park to give them full respect and food .",[0 1 1 0 1 0 0]
4056,"president muhammadu buhari is on a divine mission to rescue the nigeria from the brink of collapse and hopelessness , speaker of the house of representatives , rt . hon. yakubu dogara has said .",[0 1 0 1 1 0 0]
1922,"the global gender gap report 2016 has ranked pakistan 143 out of 144 countries . this really demonstrates the failure of feminists who are hopeless to break the historical shackles of bondage on women and establish favorable political , educational , economic , and health conditions .",[1 0 0 1 0 1 0]
6690,"instead of restaurants and malls , they go into the nooks and crannies of the capital , approaching every homeless person they meet to offer them a new lease on life .",[0 1 0 0 0 1 0]
6873,"according to her , she established royal seed home to bring up a needy or homeless child to become a great person in future .",[0 1 0 1 1 0 0]
5921,""""""" i expect more resources in the hands of people in need and the humanitarian workers on the frontline ( who ) are risking their lives to help them , and i expect less to be spent in the back room in transactions that do not help us get help to the people , """" she said .""",[0 1 0 0 0 0 0]
9925,"the jagged rocks , the stony beaches , the sweeping , heather covered hills ... the last views of the old country that faded from sight when a generation of immigrants set sail for the new world ( you can read that in liam neeson 's voice if you want ) .",[0 0 0 0 1 1 0]
6852,"it was through that experience guest decided to help others in need , people who society had passed by , a notion he has continued throughout his retirement years .",[0 1 0 0 1 1 0]
5512,""""""" africa rights initiatives international has brought smiles on the faces of many , especially , crippled/ disabled who received crutches , the poor sighted who received glasses and medications , the poor who received clothing , the 1,225people who received free health insurance coverage and the general public that received free medical care and above all , the financial support for the anti snake venom ( asv ) to save the life of the poor woman in kporibayiri , and referral of the poor boy who died on the way to the hospital . your midwives also conducted great deliveries during your visit . only god knows what would have happened as the only midwife for the sub-district was still on her annual leave """" he said .""",[0 1 0 0 1 1 0]
6907,""""""" we are taking a community that is fairly vulnerable and bringing them to a level where they are empowered . """" <h> victoria kioko""",[0 1 0 1 0 0 0]
4494,""""""" we shall remember him for the immense contribution he made to the many vulnerable sectors of humanity ? women ? children ? orphans the disabled and refugees . """"""",[0 1 0 0 0 0 0]
5593,""""""" let us make this occasion more meaningful by offering aid to others , especially to those in need . let us pray for the welfare and safety of our countrymen and for lasting peace in our nation so that we can all work together in harmony towards real change , """" he said .""",[0 1 0 0 0 0 0]
5612,"he said the victims who are currently rendered homeless can now be relieved of troubles as the 5,000 iron sheets from mwanza had arrived , with 1,200 already distributed to victims in bukoba municipality .",[1 1 1 0 0 0 0]
3025,"from a spiritual perspective , fasting is a time for the believer to rely on god , to give thanks and to think of others who are in need .",[0 1 1 0 0 0 0]
232,"the former chelsea star through his foundation gave out toys , bags and clothes to kids in need of a brighter holiday",[0 1 1 0 1 0 0]
9238,"this letter also might encourage other people . if they see someone struggling just go over and help . it can really make that elderly , disabled or troubled person 's day !",[0 1 0 1 0 0 0]
8739,kudos to the teenager for showing great kindness to someone in need !,[0 1 0 0 0 0 0]
1447,"this is a new education programme introduced in this district to ensure that each vulnerable girl and boy in this district is educated , protected , respected and valued and grows up to turn the tide of poverty .",[0 1 0 0 0 1 0]
6646,"to meet the need , villagers from gairo district in morogoro region have a reason to smile after the campaign for female education ( camfed ) tanzania has introduced a new programme to support vulnerable girls and boys from poor families to access best education from primary to tertiary level that will help them to break the poverty cycle for themselves and their communities .",[0 1 0 1 0 1 0]
9982,""""""" this is a wonderful cause to be part of , and we are deeply impressed by deputy minister manamela and the effort he puts in to raise awareness of this previously unspoken issue , """" says old mutual head of brand karen thomas . """" at old mutual we always encourage people to do things for ' more than yourself ' , and at this year 's om die dam deputy minister manamela is leading the way and setting an example that committing oneself to run can make such an enormous difference to so many in need . """"""",[0 1 1 0 0 0 0]
1137,"the retailer footwear company on a mission to democratise fashion , design and the latest ideas in footwear and accessories globally , has shown its commitment to jamaica by again providing shoes for children in need during the christmas season .",[0 1 1 0 0 0 0]
8260,"""yangon , myanmar , september 29 , 2017 -- sanna johnson , irc 's regional director said : """" whether forced to flee to neighbouring bangladesh or stuck in northern myanmar , cut off from essential services and lifesaving aid , rohingya refugees have no safe place to call home . today 's reported drownings are a tragic reminder of this desperation . as the largest health care provider in rakhine state , the irc is deeply alarmed by conditions on both sides of the border and calls for immediate access to reach those communities in need . """"""",[0 1 0 0 1 1 0]
2133,"the drama 's compelling nature derived from a thorough knowledge of its cast , more numerous and improbable than any soap opera 's . the bite came from underlying tragedy : lost wives , lost jobs , pennilessness , homelessness and death . i have never laughed so much as in soho in the eighties .",[0 0 0 0 1 0 0]
1301,"government support to bring the housing first programme to wellington will make a real difference for the homeless , says national 's wellington central candidate nicola willis .",[0 1 0 1 0 0 0]
2953,""""""" the worst thing was dealt to us , """" he said . """" but at least we 'll get closure . that 's a blessing , in some way ... but i think of those poor families who wo n't . """"""",[0 1 0 0 1 0 0]
6115,the eastridge christian school in bramley gathered at their local park to hand over much-needed food parcels to the homeless on 7 march .,[0 1 1 0 0 0 0]
157,"we are alarmed to learn of your recently circulated proposals that would eviscerate the lifeline program and leave many of the most vulnerable people in the country without access to affordable communications . as you are well aware , the lifeline program provides a modest monthly subsidy of $9.25 to connect low-income americans to phone and internet services . as broadband prices continue to soar , and affordability continues to suffer , adoption gaps remain . the lifeline program has proven critical for poor families and people of color who are caught on the wrong side of the digital divide .",[0 1 1 0 1 1 0]
